true_label,predicted_label,distance
1,1,0.24076475203037262
1,1,0.2085181027650833
4,2,0.22877559065818787
1,1,0.3126130998134613
1,1,0.2082337737083435
0,0,0.23027043044567108
1,1,0.3140115439891815
4,2,0.23195549845695496
1,1,0.31752756237983704
1,1,0.2573448419570923
1,1,0.2525634467601776
4,2,0.18474550545215607
3,3,0.19113224744796753
1,1,0.3693998456001282
3,3,0.20094268023967743
4,1,0.29671746492385864
1,1,0.3443731367588043
1,1,0.2777627408504486
4,5,0.39737650752067566
1,1,0.17175982892513275
1,0,0.2047439068555832
2,3,0.20119550824165344
4,1,0.25350144505500793
4,2,0.23414644598960876
0,3,0.16480712592601776
6,2,0.3405885398387909
1,1,0.3000352084636688
1,1,0.22827304899692535
1,1,0.3191068470478058
2,3,0.3057268559932709
6,1,0.7604278922080994
1,1,0.2523866295814514
1,1,0.23029255867004395
1,1,0.2361356019973755
1,1,0.23961329460144043
1,1,0.1949731558561325
4,2,0.2726575434207916
1,1,0.317813903093338
1,1,0.25484445691108704
1,1,0.30030229687690735
2,4,0.23506894707679749
1,1,0.25319090485572815
1,1,0.23605507612228394
1,1,0.20153509080410004
1,5,0.2991980016231537
4,4,0.23814907670021057
4,2,0.21227265894412994
0,0,0.1384372115135193
0,0,0.22082623839378357
4,3,0.14920876920223236
4,1,0.24373477697372437
1,1,0.2434399127960205
1,1,0.14573906362056732
4,2,0.195333331823349
3,3,0.25908467173576355
1,1,0.1759640872478485
1,1,0.14370739459991455
1,1,0.14315928518772125
1,1,0.15707257390022278
0,1,0.1978132724761963
3,0,0.23483167588710785
1,1,0.21978731453418732
1,1,0.2039061039686203
2,1,0.3394410014152527
1,1,0.17262762784957886
1,1,0.1619979292154312
4,3,0.3039849102497101
1,1,0.14846721291542053
1,1,0.19447451829910278
1,1,0.2247539609670639
0,2,0.17898380756378174
4,0,0.21472886204719543
5,3,0.2231905311346054
2,3,0.33065974712371826
1,0,0.23769794404506683
1,1,0.16353121399879456
1,1,0.30934014916419983
1,1,0.2360399216413498
1,1,0.18199139833450317
1,1,0.17603334784507751
0,0,0.23188334703445435
2,3,0.22818830609321594
1,1,0.24115583300590515
6,0,0.23692241311073303
1,1,0.15099698305130005
1,1,0.21479186415672302
1,1,0.2580985724925995
2,0,0.2209567129611969
1,1,0.1996879279613495
4,0,0.3685653507709503
4,2,0.18422994017601013
1,1,0.16061744093894958
1,0,0.23531699180603027
4,2,0.28547969460487366
1,1,0.216055765748024
1,1,0.30346158146858215
1,1,0.16368713974952698
4,0,0.1941831409931183
1,1,0.34285375475883484
1,1,0.2848896086215973
1,1,0.2966741621494293
1,1,0.18335920572280884
1,4,0.19255685806274414
0,0,0.318957656621933
1,1,0.27261030673980713
0,0,0.29299691319465637
